idx,sub_1_smiles,sub_2_smiles,product_smiles
128,CNOC,Cc1cc(C)c(C(=O)O)c(C)c1,CON(C)C(=O)c1c(C)cc(C)cc1C
129,COc1ccc(N)cc1C,Cc1ccc(C(=O)O)c2ccccc12,COc1ccc(NC(=O)c2ccc(C)c3ccccc23)cc1C
130,C1COCCN1,Cc1c(C(=O)O)oc2ccccc12,Cc1c(C(=O)N2CCOCC2)oc2ccccc12
131,COC(=O)c1ccc(N)cc1OC,Cc1cc(C(=O)O)cc(Cl)n1,COC(=O)c1ccc(NC(=O)c2cc(C)nc(Cl)c2)cc1OC
132,COCCN1CCNCC1,Cc1ccc(CC(=O)O)cc1,COCCN1CCN(C(=O)Cc2ccc(C)cc2)CC1
133,Cc1ccc(N)nc1,O=C(O)c1cc2ccccc2s1,Cc1ccc(NC(=O)c2cc3ccccc3s2)nc1
134,Cc1cccc(N)c1C,Cc1ccc(C(=O)O)cc1F,Cc1ccc(C(=O)Nc2cccc(C)c2C)cc1F
135,COc1ccc(N)cn1,O=C(O)C1CCCN1C(=O)OCc1ccccc1,COc1ccc(NC(=O)C2CCCN2C(=O)OCc2ccccc2)cn1
136,NCc1ccc2c(c1)OCO2,O=C(O)c1ccc(C(F)(F)F)cn1,O=C(NCc1ccc2c(c1)OCO2)c1ccc(C(F)(F)F)cn1
137,CNOC,O=C(O)c1cc2ccccc2s1,CON(C)C(=O)c1cc2ccccc2s1
138,CC1COCCN1,COc1ccc(C(=O)O)cc1,COc1ccc(C(=O)N2CCOCC2C)cc1
139,Cc1cn(-c2cc(N)cc(C(F)(F)F)c2)cn1,O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,Cc1cn(-c2cc(NC(=O)Cc3ccc4c(c3)C(=O)c3ccccc3CO4)cc(C(F)(F)F)c2)cn1
140,COc1ccc(N)cc1,O=C(O)c1cnccn1,COc1ccc(NC(=O)c2cnccn2)cc1
141,Cc1ccc2cccc(N)c2n1,O=C(O)c1cc(Cl)cc(Cl)n1,Cc1ccc2cccc(NC(=O)c3cc(Cl)cc(Cl)n3)c2n1
142,COc1ccc(N)cn1,Cc1c(C(=O)O)oc2ccccc12,COc1ccc(NC(=O)c2oc3ccccc3c2C)cn1
143,C#Cc1cccc(N)c1,Cc1cc(C(=O)O)cc(Cl)n1,C#Cc1cccc(NC(=O)c2cc(C)nc(Cl)c2)c1
144,C[C@@H](N)c1ccccc1,Cc1cc(C(=O)O)cc(Cl)n1,Cc1cc(C(=O)N[C@H](C)c2ccccc2)cc(Cl)n1
145,CCCNC,O=C(O)C(c1ccccc1)c1ccccc1,CCCN(C)C(=O)C(c1ccccc1)c1ccccc1
146,NCc1cccc2ccccc12,O=C(O)/C=C/c1ccccc1,O=C(/C=C/c1ccccc1)NCc1cccc2ccccc12
147,NCc1ccc(Cl)cc1,O=C(O)c1cc2ccccc2s1,O=C(NCc1ccc(Cl)cc1)c1cc2ccccc2s1
148,COc1ccc(N)cc1C,Cc1cc(C(=O)O)cc(Cl)n1,COc1ccc(NC(=O)c2cc(C)nc(Cl)c2)cc1C
149,CC(=O)c1ccc(N)cc1,Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(NC(=O)Cc2ccc(C)cc2)cc1
150,COc1ccc(CN)cc1,O=C(O)C(c1ccccc1)c1ccccc1,COc1ccc(CNC(=O)C(c2ccccc2)c2ccccc2)cc1
151,C1COCCN1,O=C(O)Cc1ccc2c(c1)OCO2,O=C(Cc1ccc2c(c1)OCO2)N1CCOCC1
152,NCc1ccc2c(c1)OCO2,O=C(O)c1ccco1,O=C(NCc1ccc2c(c1)OCO2)c1ccco1
153,Cn1c(N)nc2ccccc21,O=C(O)COc1ccccc1,Cn1c(NC(=O)COc2ccccc2)nc2ccccc21
154,COc1ccc(CN)cc1,CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,COc1ccc(CNC(=O)C(C)c2ccc(CC3CCCC3=O)cc2)cc1
155,Cn1c(N)nc2ccccc21,Cn1cc(C(=O)O)c(C(F)F)n1,Cn1cc(C(=O)Nc2nc3ccccc3n2C)c(C(F)F)n1
156,Cc1ccc([N+](=O)[O-])cc1N,O=C(O)c1cnccn1,Cc1ccc([N+](=O)[O-])cc1NC(=O)c1cnccn1
157,CC(=O)c1ccc(N)cc1,O=C(O)Cc1ccc2c(c1)OCO2,CC(=O)c1ccc(NC(=O)Cc2ccc3c(c2)OCO3)cc1
158,CC(=O)c1ccc(N)cc1,O=C(O)C1Cc2ccccc2C1,CC(=O)c1ccc(NC(=O)C2Cc3ccccc3C2)cc1
159,Cc1cn(-c2cc(N)cc(C(F)(F)F)c2)cn1,Cc1ccc2cc(C(=O)O)ccc2n1,Cc1cn(-c2cc(NC(=O)c3ccc4nc(C)ccc4c3)cc(C(F)(F)F)c2)cn1
160,NCc1ccc(F)cc1F,O=C(O)Cc1ccc(C(F)(F)F)cc1,O=C(Cc1ccc(C(F)(F)F)cc1)NCc1ccc(F)cc1F
161,NCc1ccco1,O=C(O)C1Cc2ccccc2C1,O=C(NCc1ccco1)C1Cc2ccccc2C1
162,COc1ccc(S(N)(=O)=O)cc1,Cc1ccc2cc(C(=O)O)ccc2n1,COc1ccc(S(=O)(=O)NC(=O)c2ccc3nc(C)ccc3c2)cc1
163,NCc1ccc2c(c1)OCO2,O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,O=C(Cc1ccc2c(c1)C(=O)c1ccccc1CO2)NCc1ccc2c(c1)OCO2
164,CNOC,O=C(O)c1cc(Cl)cc(Cl)n1,CON(C)C(=O)c1cc(Cl)cc(Cl)n1
165,CNc1ccc(OC)cc1,O=C(O)c1cnccn1,COc1ccc(N(C)C(=O)c2cnccn2)cc1
166,CSc1cccc(N)c1,Cc1ccc(CC(=O)O)cc1,CSc1cccc(NC(=O)Cc2ccc(C)cc2)c1
167,CC(=O)c1ccc(N)cc1,CC1(C)C(C(=O)O)C1(C)C,CC(=O)c1ccc(NC(=O)C2C(C)(C)C2(C)C)cc1
168,Nc1ccc(Cl)cc1,Cc1ccc(C(=O)O)cc1F,Cc1ccc(C(=O)Nc2ccc(Cl)cc2)cc1F
169,NCc1ccc(Cl)cc1,Cc1cc(C)c(C(=O)O)c(C)c1,Cc1cc(C)c(C(=O)NCc2ccc(Cl)cc2)c(C)c1
170,NCc1ccc(F)cc1F,O=C(O)Cc1ccc2c(c1)OCO2,O=C(Cc1ccc2c(c1)OCO2)NCc1ccc(F)cc1F
171,Cc1ccccc1N,O=C(O)COc1ccccc1,Cc1ccccc1NC(=O)COc1ccccc1
172,NCc1ccccc1C(F)(F)F,O=C(O)C(c1ccccc1)c1ccccc1,O=C(NCc1ccccc1C(F)(F)F)C(c1ccccc1)c1ccccc1
173,COC(=O)c1cc(S(N)(=O)=O)ccc1OC,O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,COC(=O)c1cc(S(=O)(=O)NC(=O)Cc2ccc3c(c2)C(=O)c2ccccc2CO3)ccc1OC
174,C[C@@H](N)c1ccccc1,O=C(O)Cc1ccc2c(c1)OCO2,C[C@@H](NC(=O)Cc1ccc2c(c1)OCO2)c1ccccc1
175,NCc1ccco1,Cc1ccc2cc(C(=O)O)ccc2n1,Cc1ccc2cc(C(=O)NCc3ccco3)ccc2n1
176,NCc1ccccc1C(F)(F)F,O=C(O)c1cccc(-c2ccccc2)c1,O=C(NCc1ccccc1C(F)(F)F)c1cccc(-c2ccccc2)c1
177,COC(=O)c1ccc(N)cc1OC,Cc1ccc(C(=O)O)cc1,COC(=O)c1ccc(NC(=O)c2ccc(C)cc2)cc1OC
178,CNOC,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,CON(C)C(=O)C(C)c1ccc(-c2ccccc2)c(F)c1
179,NCc1ccc(Cl)cc1,O=C(O)/C=C/c1ccccc1,O=C(/C=C/c1ccccc1)NCc1ccc(Cl)cc1
180,Cc1ccc2cccc(N)c2n1,N#Cc1ccc(C(=O)O)cc1,Cc1ccc2cccc(NC(=O)c3ccc(C#N)cc3)c2n1
181,COc1ccc(N)cn1,O=C(O)Cc1ccc([N+](=O)[O-])cc1,COc1ccc(NC(=O)Cc2ccc([N+](=O)[O-])cc2)cn1
182,COC(=O)c1cc(S(N)(=O)=O)ccc1OC,Cc1ccc2cc(C(=O)O)ccc2n1,COC(=O)c1cc(S(=O)(=O)NC(=O)c2ccc3nc(C)ccc3c2)ccc1OC
183,COc1ccc(CN)cc1,Cc1cccc(C)c1C(=O)O,COc1ccc(CNC(=O)c2c(C)cccc2C)cc1
184,NCc1ccco1,O=C(O)Cc1ccc([N+](=O)[O-])cc1,O=C(Cc1ccc([N+](=O)[O-])cc1)NCc1ccco1
185,CC(C)Nc1ccccc1,Cc1cc(C(=O)O)cc(Cl)n1,Cc1cc(C(=O)N(c2ccccc2)C(C)C)cc(Cl)n1
186,C#Cc1cccc(N)c1,Cc1ccc2cc(C(=O)O)ccc2n1,C#Cc1cccc(NC(=O)c2ccc3nc(C)ccc3c2)c1
187,C[C@@H](N)c1ccccc1,O=C(O)c1ncccn1,C[C@@H](NC(=O)c1ncccn1)c1ccccc1
188,Cc1ccc([N+](=O)[O-])cc1N,Cc1c(C(=O)O)oc2ccccc12,Cc1ccc([N+](=O)[O-])cc1NC(=O)c1oc2ccccc2c1C
189,Nc1ccc(F)nc1,Cc1ccc2cc(C(=O)O)ccc2n1,Cc1ccc2cc(C(=O)Nc3ccc(F)nc3)ccc2n1
